id,name,url
1,NuMetal Playlist,https://music.youtube.com/playlist?list=PLOFCpfevAFEgjqM14nPbKM6HFjYOy-06t&si=W0rFyQU-XC3lRx7X
2,Pop Playlist,https://music.youtube.com/playlist?list=PLOFCpfevAFEgjqM14nPbKM6HFjYOy-06t&si=W0rFyQU-XC3lRx7X
